ArraySize,Cutoff,AvgTime(ms)
500000,1000,85.3
500000,2000,72.3
500000,3000,59.2
500000,4000,42.5
500000,5000,42.1
500000,6000,35.6
500000,7000,31.6
500000,8000,33.2
500000,9000,33.8
500000,10000,30.8
500000,11000,31.4
500000,12000,33.7
500000,13000,32.1
500000,14000,32.6
500000,15000,32.5
500000,16000,33.1
500000,17000,30.7
500000,18000,31.6
500000,19000,34.4
500000,20000,32.5
500000,21000,33.3
500000,22000,32.9
500000,23000,36.0
500000,24000,33.9
500000,25000,31.5
500000,26000,38.8
500000,27000,37.2
500000,28000,35.5
500000,29000,31.4
500000,30000,36.3
500000,31000,32.7
500000,32000,35.4
500000,33000,33.2
500000,34000,30.8
500000,35000,30.5
500000,36000,33.2
500000,37000,31.8
500000,38000,31.3
500000,39000,31.8
500000,40000,33.0
500000,41000,34.2
500000,42000,33.0
500000,43000,39.3
500000,44000,31.7
500000,45000,34.7
500000,46000,35.1
500000,47000,31.5
500000,48000,33.8
500000,49000,32.5
500000,50000,31.2
1000000,1000,71.0
1000000,2000,73.4
1000000,3000,64.4
1000000,4000,67.2
1000000,5000,65.5
1000000,6000,64.6
1000000,7000,70.2
1000000,8000,94.0
1000000,9000,72.7
1000000,10000,66.8
1000000,11000,66.7
1000000,12000,82.1
1000000,13000,72.2
1000000,14000,66.9
1000000,15000,68.9
1000000,16000,69.6
1000000,17000,84.3
1000000,18000,79.2
1000000,19000,83.0
1000000,20000,85.6
1000000,21000,85.2
1000000,22000,67.6
1000000,23000,80.8
1000000,24000,75.1
1000000,25000,68.5
1000000,26000,65.5
1000000,27000,65.2
1000000,28000,70.3
1000000,29000,73.2
1000000,30000,70.4
1000000,31000,70.7
1000000,32000,71.8
1000000,33000,66.4
1000000,34000,65.6
1000000,35000,65.2
1000000,36000,85.8
1000000,37000,67.2
1000000,38000,74.8
1000000,39000,67.7
1000000,40000,69.9
1000000,41000,63.9
1000000,42000,66.5
1000000,43000,65.4
1000000,44000,69.3
1000000,45000,65.6
1000000,46000,72.9
1000000,47000,65.5
1000000,48000,70.9
1000000,49000,67.7
1000000,50000,75.0
2000000,1000,153.1
2000000,2000,141.6
2000000,3000,138.2
2000000,4000,137.1
2000000,5000,145.4
2000000,6000,138.0
2000000,7000,137.8
2000000,8000,137.9
2000000,9000,170.4
2000000,10000,171.3
2000000,11000,157.2
2000000,12000,165.6
2000000,13000,139.4
2000000,14000,139.5
2000000,15000,145.2
2000000,16000,145.0
2000000,17000,153.0
2000000,18000,146.8
2000000,19000,139.8
2000000,20000,143.5
2000000,21000,155.5
2000000,22000,144.2
2000000,23000,140.4
2000000,24000,138.9
2000000,25000,146.4
2000000,26000,138.4
2000000,27000,142.4
2000000,28000,139.4
2000000,29000,138.0
2000000,30000,143.7
2000000,31000,142.3
2000000,32000,157.4
2000000,33000,148.1
2000000,34000,141.2
2000000,35000,154.1
2000000,36000,139.6
2000000,37000,139.5
2000000,38000,139.3
2000000,39000,146.5
2000000,40000,151.7
2000000,41000,145.7
2000000,42000,151.6
2000000,43000,149.8
2000000,44000,149.0
2000000,45000,138.6
2000000,46000,148.7
2000000,47000,141.2
2000000,48000,140.8
2000000,49000,138.8
2000000,50000,139.2
5000000,1000,372.7
5000000,2000,386.2
5000000,3000,363.3
5000000,4000,354.5
5000000,5000,372.7
5000000,6000,368.2
5000000,7000,357.3
5000000,8000,352.5
5000000,9000,362.5
5000000,10000,352.7
5000000,11000,362.3
5000000,12000,356.1
5000000,13000,376.4
5000000,14000,377.2
5000000,15000,364.7
5000000,16000,585.5
5000000,17000,396.2
5000000,18000,368.0
5000000,19000,359.9
5000000,20000,352.6
5000000,21000,378.8
5000000,22000,356.6
5000000,23000,361.2
5000000,24000,355.5
5000000,25000,374.8
5000000,26000,413.9
5000000,27000,406.7
5000000,28000,370.1
5000000,29000,395.9
5000000,30000,369.4
5000000,31000,384.1
5000000,32000,359.0
5000000,33000,366.5
5000000,34000,348.2
5000000,35000,361.8
5000000,36000,378.6
5000000,37000,361.2
5000000,38000,347.4
5000000,39000,342.4
5000000,40000,341.4
5000000,41000,339.5
5000000,42000,355.8
5000000,43000,357.4
5000000,44000,385.9
5000000,45000,352.6
5000000,46000,529.4
5000000,47000,481.8
5000000,48000,385.3
5000000,49000,400.2
5000000,50000,385.8
